ORGAO,FUNCAO,SUBFUNCAO,ACAO
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,04 - ADMINISTRACAO,126 - TECNOLOGIA DA INFORMACAO,1005 - AQUISICAO E IMPLANTACAO DE PRODUTOS E SERVICOS DE TI
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,04 - ADMINISTRACAO,128 - FORMACAO DE RECURSOS HUMANOS,2019 - CAPACITACAO DE SERVIDORES
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,06 - SEGURANCA PUBLICA,122 - ADMINISTRACAO GERAL,"1796 - AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS E VEICULOS"
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,06 - SEGURANCA PUBLICA,181 - POLICIAMENTO,1175 - IMPLANTACAO DE EQUIPAMENTOS PARA O CONTROLE DE TRAFEGO EM AREA DE FORTALEZA (CTAFOR)
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,06 - SEGURANCA PUBLICA,181 - POLICIAMENTO,1627 - AQUISICAO DE VEICULOS PARA AS ATIVIDADES OPERACIONAIS DE TRANSITO
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,06 - SEGURANCA PUBLICA,181 - POLICIAMENTO,2169 - REALIZACAO E APOIO DAS ATIVIDADES EDUCATIVAS DE TRANSITO
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,06 - SEGURANCA PUBLICA,181 - POLICIAMENTO,2940 - MANUTENCAO DE OPERACAO DE TRANSITO E DE SINALIZACAO VIARIA
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,15 - URBANISMO,451 - INFRA-ESTRUTURA URBANA,2385 - RECAPEAMENTO DE VIAS E LOGRADOUROS PUBLICOS - OPERACAO TAPA BURACO
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,28 - ENCARGOS ESPECIAIS,846 - OUTROS ENCARGOS ESPECIAIS,0017 - CONTRIBUICAO PARA FORMACAO DO PASEP
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,28 - ENCARGOS ESPECIAIS,846 - OUTROS ENCARGOS ESPECIAIS,0024 - CUMPRIMENTO DE SENTENCA JUDICIAL
CAMARA MUNICIPAL DE FORTALEZA,01 - LEGISLATIVA,031 - ACAO LEGISLATIVA,1583 - MODERNIZACAO DA ESTRUTURA FISICA DA CAMARA MUNICIPAL
CAMARA MUNICIPAL DE FORTALEZA,01 - LEGISLATIVA,031 - ACAO LEGISLATIVA,1584 - REALIZACAO DE CONSULTAS PLEBISCITARIAS E REFERENDARIAS
CAMARA MUNICIPAL DE FORTALEZA,01 - LEGISLATIVA,031 - ACAO LEGISLATIVA,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
CAMARA MUNICIPAL DE FORTALEZA,01 - LEGISLATIVA,031 - ACAO LEGISLATIVA,2783 - MANUTENCAO DAS ATIVIDADES DO PODER LEGISLATIVO
CAMARA MUNICIPAL DE FORTALEZA,01 - LEGISLATIVA,031 - ACAO LEGISLATIVA,2785 - MANUTENCAO DO INSTITUTO AMERICO BARREIRA
CAMARA MUNICIPAL DE FORTALEZA,01 - LEGISLATIVA,031 - ACAO LEGISLATIVA,2945 - CAPACITACAO E QUALIFICACAO DE PESSOAL
CENTRAL DE LICITACOES DA PREFEITURA DE FORTALEZA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,"1796 - AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS E VEICULOS"
CENTRAL DE LICITACOES DA PREFEITURA DE FORTALEZA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2016 - MANUTENCAO E FUNCIONAMENTO ADMINISTRATIVO
CENTRAL DE LICITACOES DA PREFEITURA DE FORTALEZA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,"2048 - PUBLICACOES LEGAIS REFERENTES A PROCEDIMENTOS LICITATORIOS, CONTRATOS, CONVENIOS E ADITIVOS DOS ORGAOS E ENTIDADES DO PODER EXECUTIVO."
CENTRAL DE LICITACOES DA PREFEITURA DE FORTALEZA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
CENTRAL DE LICITACOES DA PREFEITURA DE FORTALEZA,04 - ADMINISTRACAO,126 - TECNOLOGIA DA INFORMACAO,1005 - AQUISICAO E IMPLANTACAO DE PRODUTOS E SERVICOS DE TI
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,1005 - AQUISICAO E IMPLANTACAO DE PRODUTOS E SERVICOS DE TI
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,1085 - IMPLANTACAO DE OUVIDORIA ITINERANTE
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,"1796 - AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS E VEICULOS"
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2016 - MANUTENCAO E FUNCIONAMENTO ADMINISTRATIVO
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2268 - ATENDIMENTO AO CIDADAO ATRAVES DA OUVIDORIA
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,124 - CONTROLE INTERNO,1039 - IMPLANTACAO DA AUDITORIA DIGITAL - AUDITORIA SEM PAPEL
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,124 - CONTROLE INTERNO,2072 - EFETIVACAO DO CONTROLE INTERNO PREVENTIVO E CONCOMITANTE NOS ORGAOS DA ADMINISTRACAO DIRETA E INDIRETA.
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,124 - CONTROLE INTERNO,"2267 - PROMOVER AUDITORIAS SISTEMATICAS EM PROCESSOS, PROGRAMAS DE GOVERNO E AREAS ESPECIALIZADAS"
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,126 - TECNOLOGIA DA INFORMACAO,1005 - AQUISICAO E IMPLANTACAO DE PRODUTOS E SERVICOS DE TI
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,04 - ADMINISTRACAO,128 - FORMACAO DE RECURSOS HUMANOS,2019 - CAPACITACAO DE SERVIDORES
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,14 - DIREITOS DA CIDADANIA,126 - TECNOLOGIA DA INFORMACAO,1038 - IMPLANTACAO DA OUVIDORIA DIGITAL
CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,14 - DIREITOS DA CIDADANIA,183 - INFORMACAO E INTELIGENCIA,2023 - ELABORACAO DE INSTRUMENTOS PARA O FOMENTO AO CONTROLE SOCIAL
DEPARTAMENTO MUNICIPAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,1005 - AQUISICAO E IMPLANTACAO DE PRODUTOS E SERVICOS DE TI
DEPARTAMENTO MUNICIPAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2016 - MANUTENCAO E FUNCIONAMENTO ADMINISTRATIVO
DEPARTAMENTO MUNICIPAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
DEPARTAMENTO MUNICIPAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR,14 - DIREITOS DA CIDADANIA,"422 - DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",1067 - IMPLANTACAO DO BALCAO DE ATENDIMENTO AO CONSUMIDOR NAS SECRETARIAS REGIONAIS
DEPARTAMENTO MUNICIPAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR,14 - DIREITOS DA CIDADANIA,"422 - DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",1219 - REALIZACAO DA OPERACAO FERIAS LEGAL
DEPARTAMENTO MUNICIPAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR,14 - DIREITOS DA CIDADANIA,"422 - DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",1220 - VIRTUALIZACAO DO PROCON
DEPARTAMENTO MUNICIPAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR,14 - DIREITOS DA CIDADANIA,"422 - DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",1878 - ATENDIMENTO NOS BAIRROS - PROCON MOVEL
DEPARTAMENTO MUNICIPAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR,14 - DIREITOS DA CIDADANIA,"422 - DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",1880 - REALIZACAO DA CONFERENCIA MUNICIPAL DE DEFESA DO CONSUMIDOR
DEPARTAMENTO MUNICIPAL DE PROTECAO E DEFESA DOS DIREITOS DO CONSUMIDOR,14 - DIREITOS DA CIDADANIA,"422 - DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",1917 - APOIO E REALIZACAO DE EVENTOS
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,1005 - AQUISICAO E IMPLANTACAO DE PRODUTOS E SERVICOS DE TI
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,1176 - REALIZACAO DE EVENTOS FORMATIVOS PARA PREVENCAO A VIOLENCIA SEXUAL CONTRA CRIANCAS E ADOLESCENTES?? REDE AQUARELA
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,1177 - CAPACITACAO DE PROFISSIONAIS PARA O ENFRENTAMENTO A VIOLENCIA SEXUAL CONTRA CRIANCAS E ADOLESCENTES ? REDE AQUARELA
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,1202 - SENSIBILIZACAO PARA PREVENCAO CONTRA AS VIOLACOES DE DIREITOS DE CRIANCAS E ADOLESCENTES
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,1210 - REALIZACAO DE EVENTOS DIRECIONADOS A PRIMEIRA INFANCIA
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,1454 - CAPACITACAO DOS SERVIDORES PUBLICOS DA POLITICA DE DIREITOS DA CRIANCA E ADOLESCENTE
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,1526 - IMPLANTACAO DE CENTRO INTEGRADO DE REFERENCIA DE CRIANCAS E ADOLESCENTES
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,"1796 - AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS E VEICULOS"
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2016 - MANUTENCAO E FUNCIONAMENTO ADMINISTRATIVO
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2040 - ESCUTA ESPECIALIZADA DA CRIANCA E ADOLESCENTE VITIMA OU TESTEMUNHA DE VIOLENCIA
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2046 - MANUTENCAO E FUNCIONAMENTO DO CONSELHO DE DEFESA DOS DIREITOS DA CRIANCA E ADOLESCENTE
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2067 - FORMACAO CONTINUADA PARA OS CONSELHEIROS TUTELARES
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2068 - CAPACITACAO PARA OS PROFISSIONAIS E OPERADORES DAS UNIDADES DO SGD
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2077 - DESENVOLVIMENTO DO SERVICO ESPECIALIZADO EM ABORDAGEM SOCIAL DE CRIANCAS E ADOLESCENTES ? PONTE DE ENCONTRO
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,"2078 - REALIZACAO DE ATENDIMENTO MULTIDISCIPLINAR A CRIANCAS E ADOLESCENTES EM SITUACAO DE VIOLENCIA SEXUAL, E SUAS FAMILIAS ? REDE AQUARELA"
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2079 - MANUTENCAO DO COMITE DE SUB-REGISTRO CIVIL DE NASCIMENTO
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2081 - MONITORAMENTOS E ASSESSORAMENTO DAS ACOES DO PMPIF
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2110 - MANUTENCAO DO CENTRO INTEGRADO DE REFERENCIA DE CRIANCAS E ADOLESCENTES
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,08 - ASSISTENCIA SOCIAL,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2281 - DESENVOLVIMENTO DAS ACOES DE PRIMEIRA INFANCIA NO SUAS ? CRIANCA FELIZ
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,14 - DIREITOS DA CIDADANIA,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,1517 - IMPLANTACAO DE CONSELHOS TUTELARES
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,14 - DIREITOS DA CIDADANIA,243 - ASSISTENCIA A CRIANCA E AO ADOLESCENTE,2051 - MANUTENCAO DOS CONSELHOS TUTELARES
FUNDACAO DA CRIANCA E DA FAMILIA CIDADA,28 - ENCARGOS ESPECIAIS,846 - OUTROS ENCARGOS ESPECIAIS,0024 - CUMPRIMENTO DE SENTENCA JUDICIAL
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,122 - ADMINISTRACAO GERAL,"1796 - AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS E VEICULOS"
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,122 - ADMINISTRACAO GERAL,2016 - MANUTENCAO E FUNCIONAMENTO ADMINISTRATIVO
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,122 - ADMINISTRACAO GERAL,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,126 - TECNOLOGIA DA INFORMACAO,1034 - IMPLANTACAO DO PROJETO FORTALEZA ONLINE
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,126 - TECNOLOGIA DA INFORMACAO,1044 - DESENVOLVIMENTO E IMPLEMENTACAO DE PROJETOS INOVADORES PARA A CIDADE
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,126 - TECNOLOGIA DA INFORMACAO,1057 - DESENVOLVIMENTO E IMPLANTACAO DE PROJETOS INOVADORES PARA OS ORGAOS DA PMF
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,126 - TECNOLOGIA DA INFORMACAO,1064 - IMPLANTACAO DO PROJETO DE DATA ANALYSIS DA CIDADE
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,126 - TECNOLOGIA DA INFORMACAO,1512 - AMPLIACAO DO ACESSO LIVRE AO WIFI
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,126 - TECNOLOGIA DA INFORMACAO,2024 - FUNCIONAMENTO E MANUTENCAO DO PROJETO FORTALEZA ONLINE
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,126 - TECNOLOGIA DA INFORMACAO,2042 - MANUTENCAO DO DATA ANALYSIS DA CIDADE
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,126 - TECNOLOGIA DA INFORMACAO,2278 - MANUTENCAO DE EQUIPAMENTOS DE PROMOCAO DA TECNOLOGIA E CULTURA DIGITAL
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,333 - EMPREGABILIDADE,1065 - DESENVOLVIMENTO E IMPLANTACAO DO SISTEMA DA REDE MUNICIPAL DE QUALIFICACAO - REMUQ
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,333 - EMPREGABILIDADE,2170 - MANUTENCAO DO SISTEMA DA REDE MUNICIPAL DE QUALIFICACAO - REMUQ
"FUNDACAO DE CIENCIA, TECNOLOGIA E INOVACAO DE FORTALEZA",19 - CIENCIA E TECNOLOGIA,571 - DESENVOLVIMENTO CIENTIFICO,1037 - EVENTOS NA AREA DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO
